Municipio,P_Ing,PEA ,Escolaridad,Remesas,Afiliacion
Abasolo,3.6,97.31247612,7.7,12.22778,81.77
Acambaro,5.4,98.23896202,8.3,33.620593,79.28461687
Apaseo el Alto,5.8,98.00085889,7.9,25.7249345,64.45208029
Apaseo el Grande,11.2,99.604086,8.9,13.34873825,78.89323574
Atarjea,1,97.97434183,7.2,0.2979995,73.63317866
Celaya,10.4,96.62055392,10.1,49.42758875,84.81873112
Comonfort,4.8,97.91896165,8.2,22.07380925,75.48990826
Coroneo,1.5,98.07098565,7.8,7.099656,83.30261882
Cortazar,13.3,97.42788115,8.8,15.28781225,78.88367228
Cueramaro,2.5,97.53782102,7.7,11.97183375,83.53333935
Doctor Mora,2.5,97.27532827,8.1,3.89197225,79.55436647
Dolores Hidalgo,3.3,97.69701763,8.1,50.4020005,77.83971222
Guanajuato,9.5,96.98382409,10.5,13.87392625,83.0558598
Huanimaro,1.7,98.01499309,7.8,10.401465,75.97063261
Irapuato,10,95.26109172,9.7,44.573587,85.54498715
Jaral del Progreso,8.8,97.19559338,8.4,7.6809425,89.38375615
Jerecuaro,2,97.45214306,7,22.27772725,80.99275997
Leon,11.4,95.30695491,9.8,88.3082215,85.42622866
Manuel Doblado,3.2,97.39766097,7.2,21.583778,84.708282
Moroleon,3.2,97.3474516,8.7,27.128331,77.45551834
Ocampo,1.4,96.9948171,7.2,5.63615175,77.41478174
Penjamo,4.8,97.69704517,7.8,29.41625725,78.84243642
Pueblo Nuevo,2.8,97.77240832,7.8,7.38363825,81.04091378
Purisima del Rincon,4.4,96.37237147,7.7,1.22194525,82.35910667
Romita,5.2,95.26084052,7.8,5.56916025,77.25364376
Salamanca,11.2,97.45450658,9.4,27.7783965,87.45552413
Salvatierra,7,98.40328733,8.1,28.380352,83.44726187
San Diego de la Union,1.8,97.42413802,7.1,7.68950775,85.88700253
San Felipe,5.1,97.1918356,7.7,25.59200075,83.4583719
San Francisco del Rincon,7.3,94.82138976,8.2,24.699447,82.27859725
San Jose Iturbide,4.9,96.89706771,9.1,26.72080475,75.28558657
San Luis de la Paz,5,97.26668553,8.2,35.64916525,80.29880078
San Miguel de Allende,3.5,97.92696733,8.7,33.5923585,74.93853862
Santa Catarina,0.6,97.67611587,7.7,2.4259265,88.86947405
Santa Cruz de Juventino Rosas,6.3,97.47446995,7.9,15.2596525,78.3264513
Santiago Maravatio,2.9,98.00483454,7.5,0.55778,86.13345249
Silao de la Victoria,10.8,95.95470033,8.7,18.1994145,85.42710605
Tarandacuao,2.6,97.62104658,8.1,4.3786845,82.76716207
Tarimoro,4.7,97.76235901,7.6,17.29803825,87.73429884
Tierra Blanca,0.8,97.84899496,8,2.74853575,79.28225121
Uriangato,4.2,97.19751884,8,13.30473875,78.8499691
Valle de Santiago,5.5,97.07854594,8,35.47311025,78.57904488
Victoria,1.7,97.87057564,8.2,3.23327925,84.19987766
Villagran,14.7,96.69537292,8.9,3.559855,83.18007022
Xichu,0.5,98.25418226,6.7,1.39625225,95.22570223
Yuriria,2,97.49036182,7.4,29.76774975,80.74657046
